time_period,time_identifier,geographic_level,country_name,country_code,region_name,region_code,la_name,old_la_code,new_la_code,school_phase,number_schools,number_schools_with_surplus,number_schools_with_deficit,PC_schools_with_surplus,PC_schools_with_deficit,total_revenue_balance_million,average_revenue_balance,revenue_balance_as_pc_total_income,total_revenue_reserve_schools_surplus_million,total_revenue_reserve_schools_deficit_million,schools_surplus_over_threshold,school_over_threshold_pc_surplus,school_surplus_over_threshold_million,school_over_threshold_av_per_school,B01_million,B02_million,B03_million,B05_million,B06_million,OB01_million,OB02_million,OB03_million,total_income_million
201617,Financial year,Local authority,England,E92000001,North East,E12000001,Middlesbrough,806,E06000002,Secondary,1,1,0,100,0,0.3,299621,3.5,0.3,0,0,0,0,0,0.3,0,0.05,0,0,0.69,0,0.02,8.57
201617,Financial year,Local authority,England,E92000001,North East,E12000001,Middlesbrough,806,E06000002,Special,4,4,0,100,0,0.77,191837,8.2,0.77,0,2,50,0.43,217000,0.77,0,0.04,0,0,0.94,0,0.04,9.33
201617,Financial year,Local authority,England,E92000001,North East,E12000001,Redcar and Cleveland,807,E06000003,All LA maintained schools,39,36,2,92.3,5.1,3.98,102138,6,4.07,-0.09,14,38.9,2.77,198150,3.98,0,0.25,0,0,4.59,0,0.7,66.74
201617,Financial year,Local authority,England,E92000001,North East,E12000001,Redcar and Cleveland,807,E06000003,Primary,33,31,2,93.9,6.1,3.19,96699,7.3,3.28,-0.09,12,38.7,2.22,184823,3.19,0,0.23,0,0,3.37,0,0.28,43.91
201617,Financial year,Local authority,England,E92000001,North East,E12000001,Redcar and Cleveland,807,E06000003,PRU,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0.15,0,0.01,1.89
201617,Financial year,Local authority,England,E92000001,North East,E12000001,Redcar and Cleveland,807,E06000003,Secondary,3,3,0,100,0,0.5,165057,3,0.5,0,1,33.3,0.28,277248,0.5,0,0.01,0,0,0.67,0,0.4,16.62
201617,Financial year,Local authority,England,E92000001,North East,E12000001,Redcar and Cleveland,807,E06000003,Special,2,2,0,100,0,0.3,148569,6.9,0.3,0,1,50,0.28,278977,0.3,0,0,0,0,0.4,0,0,4.31
201617,Financial year,Local authority,England,E92000001,North East,E12000001,Stockton-on-Tees,808,E06000004,All LA maintained schools,49,42,2,85.7,4.1,3.66,74726,4.7,3.7,-0.04,11,26.2,1.35,123160,1.44,2.22,0.53,0,0,5.12,0,0.47,78.49
201617,Financial year,Local authority,England,E92000001,North East,E12000001,Stockton-on-Tees,808,E06000004,Primary,45,40,2,88.9,4.4,3.18,70632,5,3.22,-0.04,11,27.5,1.35,123160,1.28,1.89,0.4,0,0,4.1,0,0.39,63.45
201617,Financial year,Local authority,England,E92000001,North East,E12000001,Stockton-on-Tees,808,E06000004,PRU,1,1,0,100,0,0.15,147670,6.6,0.15,0,0,0,0,0,0.09,0.06,0.01,0,0,0.08,0,0.01,2.23
201617,Financial year,Local authority,England,E92000001,North East,E12000001,Stockton-on-Tees,808,E06000004,Secondary,3,1,0,33.3,0,0.34,111820,2.6,0.34,0,0,0,0,0,0.07,0.27,0.11,0,0,0.94,0,0.07,12.8
201617,Financial year,Local authority,England,E92000001,North East,E12000001,County Durham,840,E06000047,All LA maintained schools,244,224,20,91.8,8.2,19.46,79764,6.2,24.39,-4.93,123,54.9,19.78,160803,19.24,0,2.33,0.85,0.22,23.71,0.17,3.21,311.67
201617,Financial year,Local authority,England,E92000001,North East,E12000001,County Durham,840,E06000047,Nursery,12,11,1,91.7,8.3,0.63,52417,12.1,0.65,-0.02,7,63.6,0.55,78365,0.64,0,0.12,0,-0.01,0.82,-0.01,0.08,5.21
201617,Financial year,Local authority,England,E92000001,North East,E12000001,County Durham,840,E06000047,Primary,206,193,13,93.7,6.3,16.13,78299,8.1,17.03,-0.9,102,52.8,13.31,130447,15.89,0,1.77,0.16,0.24,19.67,0.19,1.85,198.52
201617,Financial year,Local authority,England,E92000001,North East,E12000001,County Durham,840,E06000047,PRU,1,0,1,0,100,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0.02,3.45
201617,Financial year,Local authority,England,E92000001,North East,E12000001,County Durham,840,E06000047,Secondary,16,11,5,68.8,31.3,0.2,12732,0.3,4.21,-4.01,7,63.6,3.69,526440,0.27,0,0.36,0.7,-0.06,0.94,-0.05,1.2,80.3
201617,Financial year,Local authority,England,E92000001,North East,E12000001,County Durham,840,E06000047,Special,9,9,0,100,0,2.5,277792,10.3,2.5,0,7,77.8,2.24,319944,2.45,0,0.07,0,0.05,2.28,0.05,0.05,24.2
201617,Financial year,Local authority,England,E92000001,North East,E12000001,Darlington,841,E06000005,All LA maintained schools,11,10,1,90.9,9.1,1.47,133957,11.6,1.51,-0.04,8,80,1.41,175763,0,1.47,0.09,0,0,1.39,0,0.1,12.76
201617,Financial year,Local authority,England,E92000001,North East,E12000001,Darlington,841,E06000005,Nursery,2,2,0,100,0,0.1,50594,12.2,0.1,0,1,50,0.08,78539,0,0.1,0.01,0,0,0.1,0,0.01,0.83
201617,Financial year,Local authority,England,E92000001,North East,E12000001,Darlington,841,E06000005,Primary,8,8,0,100,0,1.41,176417,13.1,1.41,0,7,87.5,1.33,189652,0,1.41,0.08,0,0,1.19,0,0.08,10.77
201617,Financial year,Local authority,England,E92000001,North East,E12000001,Darlington,841,E06000005,PRU,1,0,1,0,100,-0.04,-38997,-3.4,0,-0.04,0,0,0,0,0,-0.04,0.01,0,0,0.1,0,0.01,1.16
201617,Financial year,Local authority,England,E92000001,North East,E12000001,Northumberland,929,E06000057,All LA maintained schools,155,120,34,77.4,21.9,5.94,38305,3.5,9.1,-3.17,45,37.5,6.09,135333,4.34,1.56,1.91,0,0.04,8.2,0.04,1.71,171.93
201617,Financial year,Local authority,England,E92000001,North East,E12000001,Northumberland,929,E06000057,Primary,116,90,26,77.6,22.4,4.09,35250,4.6,4.91,-0.82,30,33.3,2.88,96098,1.75,2.31,1.17,0,0.04,4.77,0.03,1.11,89.18
201617,Financial year,Local authority,England,E92000001,North East,E12000001,Northumberland,929,E06000057,PRU,1,1,0,100,0,0.05,46064,5.5,0.05,0,0,0,0,0,0.02,0.02,0,0,0,-0.03,0,0.01,0.84
201617,Financial year,Local authority,England,E92000001,North East,E12000001,Northumberland,929,E06000057,Secondary,30,22,7,73.3,23.3,0.85,28297,1.2,3.13,-2.28,13,59.1,2.59,199228,1.84,-0.99,0.58,0,0.01,2.32,0.01,0.44,68.32
201617,Financial year,Local authority,England,E92000001,North East,E12000001,Northumberland,929,E06000057,Special,8,7,1,87.5,12.5,0.95,119168,7,1.02,-0.07,2,28.6,0.62,308532,0.73,0.22,0.16,0,0,1.14,0,0.15,13.59
201617,Financial year,Local authority,England,E92000001,North West,E12000002,Knowsley,340,E08000011,All LA maintained schools,55,43,11,78.2,20,2.15,39035,2.3,2.78,-0.63,3,7,0.5,166121,1.02,1.11,0.18,0,0.02,5.27,0,0.17,92.23
201617,Financial year,Local authority,England,E92000001,North West,E12000002,Knowsley,340,E08000011,Primary,48,38,9,79.2,18.8,1.57,32687,2.4,1.93,-0.36,2,5.3,0.21,105213,0.84,0.71,0.12,0,0.02,3.21,0,0.14,65.87
201617,Financial year,Local authority,England,E92000001,North West,E12000002,Knowsley,340,E08000011,PRU,1,1,0,100,0,0.29,287936,10.9,0.29,0,1,100,0.29,287936,0.29,0,0.01,0,0,0.4,0,0.01,2.64
201617,Financial year,Local authority,England,E92000001,North West,E12000002,Knowsley,340,E08000011,Secondary,3,1,2,33.3,66.7,0.03,10013,0.2,0.3,-0.27,0,0,0,0,-0.27,0.3,0,0,0,1.14,0,0,14.95
201617,Financial year,Local authority,England,E92000001,North West,E12000002,Knowsley,340,E08000011,Special,3,3,0,100,0,0.26,86654,3,0.26,0,0,0,0,0,0.17,0.09,0.04,0,0,0.51,0,0.02,8.77
201617,Financial year,Local authority,England,E92000001,North West,E12000002,Liverpool,341,E08000012,All LA maintained schools,148,124,24,83.8,16.2,13.59,91808,4.1,20.01,-6.43,54,43.5,14.29,264720,0,12.92,1.47,0.8,0.66,16.85,1.1,2.7,334.23
201617,Financial year,Local authority,England,E92000001,North West,E12000002,Liverpool,341,E08000012,Nursery,5,4,1,80,20,0.07,14237,2.1,0.22,-0.15,3,75,0.22,71694,0,-0.12,0.05,0,0.19,-0.1,0.4,0.05,3.4
201617,Financial year,Local authority,England,E92000001,North West,E12000002,Liverpool,341,E08000012,Primary,115,97,18,84.3,15.7,11.23,97681,5.5,12.9,-1.67,41,42.3,8.94,218116,0,10.85,0.88,0.26,0.38,11.22,0.67,1,202.58
201617,Financial year,Local authority,England,E92000001,North West,E12000002,Liverpool,341,E08000012,PRU,1,1,0,100,0,0.09,85120,5.9,0.09,0,0,0,0,0,0,0.09,0.03,0,0,0.15,0,0.04,1.44
201617,Financial year,Local authority,England,E92000001,North West,E12000002,Liverpool,341,E08000012,Secondary,15,11,4,73.3,26.7,-0.04,-2677,0,4.46,-4.5,4,36.4,3.5,874441,0,-0.13,0.25,0.49,0.09,2.79,0.02,0.99,98.88
201617,Financial year,Local authority,England,E92000001,North West,E12000002,Liverpool,341,E08000012,Special,12,11,1,91.7,8.3,2.24,186512,8,2.36,-0.12,6,54.5,1.64,273217,0,2.23,0.26,0.06,0.01,2.79,0.01,0.63,27.93
201617,Financial year,Local authority,England,E92000001,North West,E12000002,St. Helens,342,E08000013,All LA maintained schools,65,65,0,100,0,10.12,155630,8.2,10.12,0,31,47.7,7.69,248064,8.58,1.54,0.32,0,0,10.78,0,0.45,123.88
201617,Financial year,Local authority,England,E92000001,North West,E12000002,St. Helens,342,E08000013,Nursery,1,1,0,100,0,0.08,82911,20,0.08,0,1,100,0.08,82911,0.03,0.05,0.01,0,0,0.05,0,0.01,0.41
201617,Financial year,Local authority,England,E92000001,North West,E12000002,St. Helens,342,E08000013,Primary,52,52,0,100,0,5.63,108303,8,5.63,0,23,44.2,3.83,166448,5.22,0.41,0.2,0,0,6.47,0,0.3,70
201617,Financial year,Local authority,England,E92000001,North West,E12000002,St. Helens,342,E08000013,PRU,2,2,0,100,0,0.32,161239,10.5,0.32,0,1,50,0.29,291919,0.21,0.12,0.01,0,0,0.14,0,0.01,3.08
201617,Financial year,Local authority,England,E92000001,North West,E12000002,St. Helens,342,E08000013,Secondary,7,7,0,100,0,3.28,468284,7.8,3.28,0,4,57.1,2.84,709159,2.32,0.96,0.07,0,0,3.46,0,0.12,42.19
201617,Financial year,Local authority,England,E92000001,North West,E12000002,St. Helens,342,E08000013,Special,3,3,0,100,0,0.8,266936,9.8,0.8,0,2,66.7,0.65,325109,0.8,0,0.02,0,0,0.65,0,0.02,8.19
201617,Financial year,Local authority,England,E92000001,North West,E12000002,Sefton,343,E08000014,All LA maintained schools,95,91,3,95.8,3.2,13.48,141873,8,14.46,-0.99,57,62.6,11.84,207777,4.19,9.29,1.38,0,0,16.31,0,1.46,168.36
201617,Financial year,Local authority,England,E92000001,North West,E12000002,Sefton,343,E08000014,Nursery,4,4,0,100,0,0.34,85280,11.2,0.34,0,2,50,0.28,140839,0.14,0.2,-0.02,0,0,0.35,0,-0.04,3.04
201617,Financial year,Local authority,England,E92000001,North West,E12000002,Sefton,343,E08000014,Primary,75,75,0,100,0,9.95,132706,9.1,9.95,0,46,61.3,8.02,174241,2.66,7.29,1.04,0,0,11.29,0,1.05,109.42
201617,Financial year,Local authority,England,E92000001,North West,E12000002,Sefton,343,E08000014,PRU,2,2,0,100,0,0.13,66284,3.9,0.13,0,1,50,0.09,85339,0.1,0.03,0.02,0,0,0.29,0,0.02,3.36
201617,Financial year,Local authority,England,E92000001,North West,E12000002,Sefton,343,E08000014,Secondary,9,5,3,55.6,33.3,1.59,176294,3.9,2.57,-0.99,4,80,2.25,562220,0.94,0.65,0.17,0,0,3.01,0,0.25,40.6
201617,Financial year,Local authority,England,E92000001,North West,E12000002,Sefton,343,E08000014,Special,5,5,0,100,0,1.46,292926,12.2,1.46,0,4,80,1.21,303081,0.34,1.12,0.17,0,0,1.36,0,0.17,11.96
201617,Financial year,Local authority,England,E92000001,North West,E12000002,Wirral,344,E08000015,All LA maintained schools,109,94,13,86.2,11.9,10.5,96335,5.9,11.35,-0.85,41,43.6,8.15,198842,3.1,7.4,1.03,0,0,11.74,0,0.99,177.44
201617,Financial year,Local authority,England,E92000001,North West,E12000002,Wirral,344,E08000015,Nursery,3,3,0,100,0,0.28,92474,13.8,0.28,0,2,66.7,0.23,117055,0.2,0.08,0.05,0,0,0.6,0,0.05,2.01
201617,Financial year,Local authority,England,E92000001,North West,E12000002,Wirral,344,E08000015,Primary,88,79,9,89.8,10.2,7.75,88053,6.3,8.07,-0.32,32,40.5,5.21,162844,1.98,5.77,0.7,0,0,7.41,0,0.63,122.75
201617,Financial year,Local authority,England,E92000001,North West,E12000002,Wirral,344,E08000015,Secondary,6,2,3,33.3,50,0.47,79046,1.5,1,-0.53,1,50,0.98,980809,-0.07,0.54,0.04,0,0,1.61,0,0.09,31.45
201617,Financial year,Local authority,England,E92000001,North West,E12000002,Wirral,344,E08000015,Special,12,10,1,83.3,8.3,2,166682,9.4,2,0,6,60,1.73,287766,0.99,1.01,0.24,0,0,2.12,0,0.23,21.22
201617,Financial year,Local authority,England,E92000001,North West,E12000002,Bolton,350,E08000001,All LA maintained schools,106,90,16,84.9,15.1,7.39,69685,3.7,8.93,-1.54,14,15.6,3.19,228090,0.18,6.92,0.11,0.56,0.29,8.04,0.15,0.68,201.74
201617,Financial year,Local authority,England,E92000001,North West,E12000002,Bolton,350,E08000001,Nursery,4,1,3,25,75,-0.47,-116287,-24.4,0.06,-0.53,0,0,0,0,0,-0.47,0,0.06,0,-0.2,0,0.05,1.91
201617,Financial year,Local authority,England,E92000001,North West,E12000002,Bolton,350,E08000001,Primary,84,74,10,88.1,11.9,4.81,57291,4.3,5.15,-0.34,10,13.5,1.47,147298,0.05,4.89,0.04,0.49,-0.13,5.63,-0.12,0.45,112.08
201617,Financial year,Local authority,England,E92000001,North West,E12000002,Bolton,350,E08000001,Secondary,12,12,0,100,0,3.45,287696,4.8,3.45,0,4,33.3,1.72,430068,0.13,2.9,0.06,-0.02,0.43,2.46,0.27,0.07,72.29
201617,Financial year,Local authority,England,E92000001,North West,E12000002,Bolton,350,E08000001,Special,6,3,3,50,50,-0.41,-68832,-2.7,0.26,-0.68,0,0,0,0,0,-0.41,0,0.03,0,0.15,0,0.11,15.47
201617,Financial year,Local authority,England,E92000001,North West,E12000002,Bury,351,E08000002,All LA maintained schools,78,69,9,88.5,11.5,4.86,62367,3.4,5.17,-0.3,9,13,1.22,135183,2.39,2.47,0.92,0,0,6.79,0,0.85,143.02
201617,Financial year,Local authority,England,E92000001,North West,E12000002,Bury,351,E08000002,Nursery,1,0,1,0,100,0,-547,-0.1,0,0,0,0,0,0,0,0,0.01,0,0,0.01,0,0.01,0.63
201617,Financial year,Local authority,England,E92000001,North West,E12000002,Bury,351,E08000002,Primary,59,53,6,89.8,10.2,2.91,49300,4,3.02,-0.12,8,15.1,0.89,110633,1.41,1.5,0.65,0,0,4.02,0,0.56,72.86
201617,Financial year,Local authority,England,E92000001,North West,E12000002,Bury,351,E08000002,PRU,2,2,0,100,0,0.03,13895,0.9,0.03,0,0,0,0,0,0.03,0,0.02,0,0,0.25,0,0.03,2.93
201617,Financial year,Local authority,England,E92000001,North West,E12000002,Bury,351,E08000002,Secondary,13,11,2,84.6,15.4,1.57,121141,2.7,1.76,-0.19,1,9.1,0.33,331582,0.85,0.72,0.22,0,0,2.15,0,0.23,57.4
201617,Financial year,Local authority,England,E92000001,North West,E12000002,Bury,351,E08000002,Special,3,3,0,100,0,0.35,117949,3.8,0.35,0,0,0,0,0,0.1,0.25,0.02,0,0,0.36,0,0.02,9.21
201617,Financial year,Local authority,England,E92000001,North West,E12000002,Manchester,352,E08000003,All LA maintained schools,125,124,1,99.2,0.8,23.82,190573,7.6,24.2,-0.37,52,41.9,16.42,315694,8.89,14.78,1.39,1.14,0.15,24.69,0.16,3.14,311.66
201617,Financial year,Local authority,England,E92000001,North West,E12000002,Manchester,352,E08000003,Nursery,2,2,0,100,0,0.33,163717,12.2,0.33,0,1,50,0.26,262980,0.17,0.16,0.04,0,0,0.36,0,0.06,2.68
201617,Financial year,Local authority,England,E92000001,North West,E12000002,Manchester,352,E08000003,Primary,102,102,0,100,0,17.77,174175,8.6,17.77,0,42,41.2,12.24,291486,6.79,10.97,0.77,1.14,0,18.09,0,2.05,206.77
201617,Financial year,Local authority,England,E92000001,North West,E12000002,Manchester,352,E08000003,PRU,2,2,0,100,0,0.79,396281,7.1,0.79,0,1,50,0.25,246695,0,0.79,0.05,0,0,0.39,0,0.07,11.24
201617,Financial year,Local authority,England,E92000001,North West,E12000002,Manchester,352,E08000003,Secondary,8,8,0,100,0,2.85,356440,4.7,2.85,0,4,50,1.91,478454,1.02,1.69,0.04,-0.01,0.15,3.2,0.16,0.2,60.46
201617,Financial year,Local authority,England,E92000001,North West,E12000002,Manchester,352,E08000003,Special,11,10,1,90.9,9.1,2.08,189480,6.8,2.46,-0.37,4,40,1.75,437546,0.92,1.17,0.49,0,0,2.65,0,0.75,30.52
201617,Financial year,Local authority,England,E92000001,North West,E12000002,Oldham,353,E08000004,All LA maintained schools,80,76,1,95,1.3,6.32,78993,4.2,6.36,-0.04,2,2.6,0.26,130280,0.92,5.4,0,0,0,7.58,0,0,149.14
201617,Financial year,Local authority,England,E92000001,North West,E12000002,Oldham,353,E08000004,Primary,72,70,1,97.2,1.4,4.86,67470,4.7,4.9,-0.04,2,2.9,0.26,130280,0.53,4.32,0,0,0,5.28,0,0,103.63
201617,Financial year,Local authority,England,E92000001,North West,E12000002,Oldham,353,E08000004,PRU,1,1,0,100,0,0.01,8426,0.5,0.01,0,0,0,0,0,0,0.01,0,0,0,0.02,0,0,1.63
201617,Financial year,Local authority,England,E92000001,North West,E12000002,Oldham,353,E08000004,Secondary,5,5,0,100,0,1.45,290624,3.6,1.45,0,0,0,0,0,0.39,1.06,0,0,0,1.89,0,0,40.76
201617,Financial year,Local authority,England,E92000001,North West,E12000002,Oldham,353,E08000004,Special,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.39,0,0,3.12
201617,Financial year,Local authority,England,E92000001,North West,E12000002,Rochdale,354,E08000005,All LA maintained schools,82,80,2,97.6,2.4,14.74,179708,8.6,14.75,-0.01,23,28.8,9.64,418991,1.75,12.93,0.54,0,0.05,13.23,0.05,0.49,172.01
201617,Financial year,Local authority,England,E92000001,North West,E12000002,Rochdale,354,E08000005,Nursery,3,3,0,100,0,0.03,8452,2.9,0.03,0,0,0,0,0,0,0.03,0.02,0,0,0.07,0,0.03,0.89
201617,Financial year,Local authority,England,E92000001,North West,E12000002,Rochdale,354,E08000005,Primary,66,64,2,97,3,7.21,109292,7,7.22,-0.01,17,26.6,3.71,218396,1.75,5.46,0.25,0,0,8.56,0,0.21,103.06
201617,Financial year,Local authority,England,E92000001,North West,E12000002,Rochdale,354,E08000005,Secondary,9,9,0,100,0,6.7,744906,12.1,6.7,0,5,55.6,5.77,1153518,0,6.65,0.26,0,0.05,3.95,0.05,0.24,55.4
201617,Financial year,Local authority,England,E92000001,North West,E12000002,Rochdale,354,E08000005,Special,4,4,0,100,0,0.79,198320,6.3,0.79,0,1,25,0.16,156480,0,0.79,0,0,0,0.65,0,0,12.66
201617,Financial year,Local authority,England,E92000001,North West,E12000002,Salford,355,E08000006,All LA maintained schools,88,83,5,94.3,5.7,9.42,106990,5.5,11.22,-1.8,31,37.3,7.31,235720,2.35,7.08,1.38,0.69,-0.02,10.22,-0.02,2.4,170.5
201617,Financial year,Local authority,England,E92000001,North West,E12000002,Salford,355,E08000006,Primary,72,69,3,95.8,4.2,7.72,107276,7.1,7.74,-0.02,24,34.8,4.73,197054,3.18,4.56,0.84,0.53,-0.02,8.03,-0.02,1.56,108.45
201617,Financial year,Local authority,England,E92000001,North West,E12000002,Salford,355,E08000006,PRU,4,4,0,100,0,0.46,114265,10.4,0.46,0,2,50,0.34,170017,0,0.46,0.17,0,0,0.31,0,0.18,4.39
201617,Financial year,Local authority,England,E92000001,North West,E12000002,Salford,355,E08000006,Secondary,9,7,2,77.8,22.2,0.12,13000,0.2,1.9,-1.78,2,28.6,1.12,560419,-1.46,1.58,0.28,0.16,0,1.04,0,0.58,49.56
201617,Financial year,Local authority,England,E92000001,North West,E12000002,Salford,355,E08000006,Special,3,3,0,100,0,1.12,372385,13.8,1.12,0,3,100,1.12,372385,0.64,0.48,0.09,0,0,0.83,0,0.08,8.11
201617,Financial year,Local authority,England,E92000001,North West,E12000002,Stockport,356,E08000007,All LA maintained schools,102,91,11,89.2,10.8,8.34,81799,5,10.38,-2.04,37,40.7,6.31,170649,8.34,0,0.76,0.04,0,11.56,0,0.94,166.02
201617,Financial year,Local authority,England,E92000001,North West,E12000002,Stockport,356,E08000007,Nursery,5,2,3,40,60,0.05,9340,2,0.06,-0.02,0,0,0,0,0.05,0,0.04,0,0,0.06,0,0.04,2.28
201617,Financial year,Local authority,England,E92000001,North West,E12000002,Stockport,356,E08000007,Primary,80,77,3,96.3,3.8,7.91,98933,7.3,7.98,-0.07,32,41.6,4.76,148770,7.91,0,0.55,0.05,0,8.16,0,0.7,108.49
201617,Financial year,Local authority,England,E92000001,North West,E12000002,Stockport,356,E08000007,PRU,3,0,3,0,100,-1.8,-599526,-130.3,0,-1.8,0,0,0,0,-1.8,0,0.03,0,0,0.07,0,0.03,1.38
201617,Financial year,Local authority,England,E92000001,North West,E12000002,Stockport,356,E08000007,Secondary,8,6,2,75,25,1.49,186342,3.4,1.65,-0.16,2,33.3,1.04,519641,1.49,0,0.08,-0.01,0,2.63,0,0.11,43.83
201617,Financial year,Local authority,England,E92000001,North West,E12000002,Stockport,356,E08000007,Special,6,6,0,100,0,0.69,115012,6.9,0.69,0,3,50,0.51,171367,0.69,0,0.06,0,0,0.64,0,0.07,10.04
201617,Financial year,Local authority,England,E92000001,North West,E12000002,Tameside,357,E08000008,All LA maintained schools,78,68,10,87.2,12.8,3.96,50762,3,6.88,-2.92,32,47.1,4.89,152889,1.79,2.3,0.56,0.01,-0.13,6.71,-0.16,0.48,134.14
201617,Financial year,Local authority,England,E92000001,North West,E12000002,Tameside,357,E08000008,Primary,65,62,3,95.4,4.6,6.04,92921,7.1,6.19,-0.15,30,48.4,4.43,147607,1.44,4.52,0.49,0.01,0.08,6.88,0.04,0.38,85.02
201617,Financial year,Local authority,England,E92000001,North West,E12000002,Tameside,357,E08000008,PRU,1,0,1,0,100,-0.09,-88333,-3.3,0,-0.09,0,0,0,0,0,-0.09,0,0,0,0,0,0,2.65
201617,Financial year,Local authority,England,E92000001,North West,E12000002,Tameside,357,E08000008,Secondary,8,2,6,25,75,-2.26,-282072,-5.8,0.43,-2.69,1,50,0.32,324306,0.32,-2.38,0.05,0,-0.2,-0.5,-0.2,0.07,38.8
201617,Financial year,Local authority,England,E92000001,North West,E12000002,Tameside,357,E08000008,Special,4,4,0,100,0,0.26,66110,3.4,0.26,0,1,25,0.14,139949,0.03,0.24,0.02,0,0,0.32,0,0.03,7.68
201617,Financial year,Local authority,England,E92000001,North West,E12000002,Trafford,358,E08000009,All LA maintained schools,72,66,4,91.7,5.6,7.52,104436,6.3,7.74,-0.22,27,40.9,5.3,196203,4.23,3.29,0.31,0.02,0,8.23,0,0.47,118.44
201617,Financial year,Local authority,England,E92000001,North West,E12000002,Trafford,358,E08000009,Primary,60,57,3,95,5,5.73,95429,6.9,5.83,-0.11,22,38.6,3.71,168845,3.68,2.04,0.28,0.02,0,6.06,0,0.29,83.39
201617,Financial year,Local authority,England,E92000001,North West,E12000002,Trafford,358,E08000009,PRU,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0.1,1.34
201617,Financial year,Local authority,England,E92000001,North West,E12000002,Trafford,358,E08000009,Secondary,6,5,1,83.3,16.7,0.78,130051,2.9,0.89,-0.11,3,60,0.75,248483,0.37,0.41,0,0,0,1.23,0,0.01,26.5
201617,Financial year,Local authority,England,E92000001,North West,E12000002,Trafford,358,E08000009,Special,4,4,0,100,0,1.01,253339,14,1.01,0,2,50,0.84,418730,0.18,0.84,0.01,0,0,0.95,0,0.07,7.22
201617,Financial year,Local authority,England,E92000001,North West,E12000002,Wigan,359,E08000010,All LA maintained schools,113,110,3,97.3,2.7,15.66,138559,7.5,15.75,-0.09,54,49.1,11.61,214933,11.9,2.54,1.46,0,1.22,15.95,1.14,1.14,209.95
201617,Financial year,Local authority,England,E92000001,North West,E12000002,Wigan,359,E08000010,Nursery,2,2,0,100,0,0.35,176608,23.9,0.35,0,2,100,0.35,176608,0.16,0.07,0.02,0,0.12,0.19,0.11,0.01,1.48
201617,Financial year,Local authority,England,E92000001,North West,E12000002,Wigan,359,E08000010,Primary,92,90,2,97.8,2.2,8.94,97224,7.5,8.98,-0.03,42,46.7,6.16,146771,6.92,1.04,0.91,0,0.99,9.08,0.84,0.72,119.62
201617,Financial year,Local authority,England,E92000001,North West,E12000002,Wigan,359,E08000010,Secondary,13,12,1,92.3,7.7,5.21,400603,7.1,5.27,-0.06,8,66.7,4.36,544990,3.71,1.39,0.39,0,0.12,5.55,0.2,0.3,73.04
201617,Financial year,Local authority,England,E92000001,North West,E12000002,Wigan,359,E08000010,Special,6,6,0,100,0,1.15,191930,7.3,1.15,0,2,33.3,0.73,364435,1.11,0.04,0.15,0,0,1.13,0,0.11,15.81
201617,Financial year,Local authority,England,E92000001,North West,E12000002,Halton,876,E06000006,All LA maintained schools,55,54,1,98.2,1.8,4.78,86843,6,4.78,0,24,44.4,3.46,144117,4.78,0,0.21,0.02,0,6.38,0,0.28,79.3
201617,Financial year,Local authority,England,E92000001,North West,E12000002,Halton,876,E06000006,Nursery,3,3,0,100,0,0.03,11123,3.2,0.03,0,0,0,0,0,0.03,0,0.02,0,0,0.1,0,0.02,1.04
201617,Financial year,Local authority,England,E92000001,North West,E12000002,Halton,876,E06000006,Primary,45,44,1,97.8,2.2,3.89,86449,7.9,3.89,0,22,50,3.13,142299,3.89,0,0.18,0.02,0,4.85,0,0.24,49.11
201617,Financial year,Local authority,England,E92000001,North West,E12000002,Halton,876,E06000006,PRU,1,1,0,100,0,0.2,204077,13.6,0.2,0,1,100,0.2,204077,0.2,0,0.01,0,0,0.21,0,0.01,1.5
201617,Financial year,Local authority,England,E92000001,North West,E12000002,Halton,876,E06000006,Secondary,3,3,0,100,0,0.42,140981,1.9,0.42,0,0,0,0,0,0.42,0,0,0,0,0.59,0,0,22.53
201617,Financial year,Local authority,England,E92000001,North West,E12000002,Halton,876,E06000006,Special,3,3,0,100,0,0.23,75255,4.4,0.23,0,1,33.3,0.12,124161,0.23,0,0.01,0,0,0.63,0,0.02,5.12
201617,Financial year,Local authority,England,E92000001,North West,E12000002,Warrington,877,E06000007,All LA maintained schools,78,70,5,89.7,6.4,5.01,64199,4.5,5.28,-0.27,7,10,1.4,200657,2.22,2.79,0,0.01,0,7.47,0,0,111.59
201617,Financial year,Local authority,England,E92000001,North West,E12000002,Warrington,877,E06000007,Nursery,1,1,0,100,0,0.17,174633,18.9,0.17,0,1,100,0.17,174633,0.09,0.09,0,0,0,0.11,0,0,0.92
201617,Financial year,Local authority,England,E92000001,North West,E12000002,Warrington,877,E06000007,Primary,69,63,3,91.3,4.3,3.73,54090,4.5,3.88,-0.14,3,4.8,0.28,94697,1.73,2,0,0.01,0,5.19,0,0,83.83
201617,Financial year,Local authority,England,E92000001,North West,E12000002,Warrington,877,E06000007,PRU,1,0,1,0,100,-0.1,-103622,-8.1,0,-0.1,0,0,0,0,-0.1,0,0,0,0,-0.03,0,0,1.29
